rank,timeframe,segment,strategy_name,feature,horizon_bars,entry_quantile,entry_threshold,sample_size,verdict,return_pct,final_equity,round_trips,win_rate,profit_factor,expectancy,max_drawdown_pct,buy_hold_order_sized_return_pct,beats_no_trade,beats_order_sized_buy_hold,notes
52,5m,full,order_book_threshold_imbalance_top_20_q0p7_h3_v27,imbalance_top_20,3,0.7,0.17262900853991006,108,failed_positive_return_check,-0.0200971228966750845275738200,999.7990287710332491547242618,13,0.15384615384615385,0.3061654708010990009600501542,-0.01545932530513468040582600632,0.02180515012707205344204468753,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
53,5m,full,order_book_threshold_imbalance_top_20_q0p8_h1_v27,imbalance_top_20,1,0.8,0.2183178155562114,108,failed_positive_return_check,-0.0237675245485708797181855100,999.7623247545142912028181449,13,0.07692307692307693,0.04890005591757304029239596982,-0.01828271119120836901398886285,0.0237675245485708797181855100,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
54,5m,full,order_book_threshold_imbalance_top_5_q0p8_h3_v27,imbalance_top_5,3,0.8,0.21076048639031877,108,failed_positive_return_check,-0.0282354504630989595861125600,999.7176454953690104041388744,14,0.14285714285714285,0.2390109825248272763084276837,-0.02016817890221354256150898885,0.02843689600206232013823409205,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
55,5m,full,order_book_threshold_order_book_imbalance_q0p7_h3_v27,order_book_imbalance,3,0.7,0.17494180938613058,108,failed_positive_return_check,-0.0318445002221834640265277800,999.6815549977781653597347222,15,0.13333333333333333,0.2178234149510906889410000908,-0.02122966681478897601768518954,0.03204593848882371274524556450,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
56,5m,full,order_book_threshold_imbalance_top_10_q0p7_h3_v27,imbalance_top_10,3,0.7,0.17494180938613058,108,failed_positive_return_check,-0.0318445002221834640265277800,999.6815549977781653597347222,15,0.13333333333333333,0.2178234149510906889410000908,-0.02122966681478897601768518954,0.03204593848882371274524556450,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
57,5m,full,order_book_threshold_order_book_imbalance_q0p8_h1_v27,order_book_imbalance,1,0.8,0.20469712596021844,108,failed_positive_return_check,-0.0326477990615439021262227600,999.6735220093845609787377724,15,0.0,0E+27,-0.02176519937436260141748184967,0.0326477990615439021262227600,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
58,5m,full,order_book_threshold_imbalance_top_10_q0p8_h1_v27,imbalance_top_10,1,0.8,0.20469712596021844,108,failed_positive_return_check,-0.0326477990615439021262227600,999.6735220093845609787377724,15,0.0,0E+27,-0.02176519937436260141748184967,0.0326477990615439021262227600,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
59,5m,full,order_book_threshold_imbalance_top_20_q0p7_h1_v27,imbalance_top_20,1,0.7,0.17262900853991006,108,failed_positive_return_check,-0.0365781621194803093637886800,999.6342183788051969063621132,18,0.05555555555555555,0.03232761158064873989470165500,-0.02032120117748906075766038522,0.0365781621194803093637886800,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
60,5m,full,order_book_threshold_imbalance_top_5_q0p8_h1_v27,imbalance_top_5,1,0.8,0.21076048639031877,108,failed_positive_return_check,-0.0380135663543112272816685700,999.6198643364568877271833143,17,0.0,0E+27,-0.02236092138488895722451092953,0.0380135663543112272816685700,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
61,5m,full,order_book_threshold_imbalance_top_5_q0p7_h3_v27,imbalance_top_5,3,0.7,0.18078752145065743,108,failed_positive_return_check,-0.0396929877716690145513873600,999.6030701222833098544861264,17,0.11764705882352941,0.1826186482203909590884880436,-0.02334881633627589091258080911,0.03989441022341581233055674977,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
62,5m,full,order_book_threshold_imbalance_top_20_q0p6_h3_v27,imbalance_top_20,3,0.6,0.13553356055798094,108,failed_positive_return_check,-0.0413227252941697390083056600,999.5867727470583026099169434,17,0.11764705882352941,0.1404849902818881829386421217,-0.02430748546715867000488568741,0.04152414446195575977935149033,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
63,5m,full,order_book_threshold_order_book_imbalance_q0p6_h3_v27,order_book_imbalance,3,0.6,0.1375246309450363,108,failed_positive_return_check,-0.0437973773049152507766300200,999.5620262269508474922336998,19,0.10526315789473684,0.1336078087715643206164209057,-0.02305125121311328988243685863,0.04399879148621723480369540004,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
64,5m,full,order_book_threshold_imbalance_top_10_q0p6_h3_v27,imbalance_top_10,3,0.6,0.1375246309450363,108,failed_positive_return_check,-0.0437973773049152507766300200,999.5620262269508474922336998,19,0.10526315789473684,0.1336078087715643206164209057,-0.02305125121311328988243685863,0.04399879148621723480369540004,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
65,5m,full,order_book_threshold_imbalance_top_5_q0p6_h3_v27,imbalance_top_5,3,0.6,0.12160606557266074,108,failed_positive_return_check,-0.0437973773049152507766300200,999.5620262269508474922336998,19,0.10526315789473684,0.1336078087715643206164209057,-0.02305125121311328988243685863,0.04399879148621723480369540004,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
66,5m,full,order_book_threshold_order_book_imbalance_q0p7_h1_v27,order_book_imbalance,1,0.7,0.17494180938613058,108,failed_positive_return_check,-0.0479894893901299749786599600,999.5201051060987002502134004,21,0.0,0E+27,-0.02285213780482379760888570738,0.0479894893901299749786599600,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
67,5m,full,order_book_threshold_imbalance_top_10_q0p7_h1_v27,imbalance_top_10,1,0.7,0.17494180938613058,108,failed_positive_return_check,-0.0479894893901299749786599600,999.5201051060987002502134004,21,0.0,0E+27,-0.02285213780482379760888570738,0.0479894893901299749786599600,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
